DocDueDate;ItemCode;Cant. Consumida
7/2/2017 0:00;MATLESS0088;120,4
22/2/2017 0:00;MATLESS0088;177,99
23/2/2017 0:00;MATLESS0088;220,76
17/3/2017 0:00;MATLESS0088;122,76
27/3/2017 0:00;MATLESS0088;212,3
4/4/2017 0:00;MATLESS0088;197
5/4/2017 0:00;MATLESS0088;219,5
11/4/2017 0:00;MATLESS0088;32,3
12/5/2017 0:00;MATLESS0088;132,8
1/6/2017 0:00;MATLESS0088;342
8/6/2017 0:00;MATLESS0088;81
16/6/2017 0:00;MATLESS0088;39
23/6/2017 0:00;MATLESS0088;222
26/6/2017 0:00;MATLESS0088;44
17/7/2017 0:00;MATLESS0088;138
18/7/2017 0:00;MATLESS0088;817,5
20/7/2017 0:00;MATLESS0088;120
7/8/2017 0:00;MATLESS0088;293,02
31/8/2017 0:00;MATLESS0088;758,6
1/9/2017 0:00;MATLESS0088;318,5
4/9/2017 0:00;MATLESS0088;170,5
26/9/2017 0:00;MATLESS0088;192,2
13/10/2017 0:00;MATLESS0088;193,2
23/10/2017 0:00;MATLESS0088;116,1
6/11/2017 0:00;MATLESS0088;72
13/11/2017 0:00;MATLESS0088;59
23/11/2017 0:00;MATLESS0088;50,2
4/12/2017 0:00;MATLESS0088;344,3
13/12/2017 0:00;MATLESS0088;2
16/1/2018 0:00;MATLESS0088;77,1
17/1/2018 0:00;MATLESS0088;367,6
29/1/2018 0:00;MATLESS0088;173,17
30/1/2018 0:00;MATLESS0088;254,58
31/1/2018 0:00;MATLESS0088;146
7/2/2018 0:00;MATLESS0088;236,85
23/2/2018 0:00;MATLESS0088;94,4
27/2/2018 0:00;MATLESS0088;204
15/3/2018 0:00;MATLESS0088;117,25
16/3/2018 0:00;MATLESS0088;295,37
6/4/2018 0:00;MATLESS0088;204,5
11/4/2018 0:00;MATLESS0088;125,33
25/4/2018 0:00;MATLESS0088;97,35
15/5/2018 0:00;MATLESS0088;346,7
16/5/2018 0:00;MATLESS0088;76,6
17/5/2018 0:00;MATLESS0088;412,85
28/5/2018 0:00;MATLESS0088;98,65
29/5/2018 0:00;MATLESS0088;75,15
8/6/2018 0:00;MATLESS0088;130
20/6/2018 0:00;MATLESS0088;293,95
16/7/2018 0:00;MATLESS0088;258,45
17/7/2018 0:00;MATLESS0088;42,6
26/7/2018 0:00;MATLESS0088;294
2/8/2018 0:00;MATLESS0088;787,1
6/8/2018 0:00;MATLESS0088;261,06
7/8/2018 0:00;MATLESS0088;142,74
28/8/2018 0:00;MATLESS0088;188,5
30/8/2018 0:00;MATLESS0088;206,8
19/9/2018 0:00;MATLESS0088;516,15
20/9/2018 0:00;MATLESS0088;117,5
26/9/2018 0:00;MATLESS0088;197
15/10/2018 0:00;MATLESS0088;172
21/10/2018 0:00;MATLESS0088;525,96
27/10/2018 0:00;MATLESS0088;118,3
5/11/2018 0:00;MATLESS0088;128,16
8/11/2018 0:00;MATLESS0088;76,4
23/11/2018 0:00;MATLESS0088;200,5
26/11/2018 0:00;MATLESS0088;118,15
11/12/2018 0:00;MATLESS0088;209,7
19/12/2018 0:00;MATLESS0088;197,5
23/3/2017 0:00;MATLESS0093;532,27
24/3/2017 0:00;MATLESS0093;224,99
24/4/2017 0:00;MATLESS0093;269
10/5/2017 0:00;MATLESS0093;497
11/5/2017 0:00;MATLESS0093;114
17/5/2017 0:00;MATLESS0093;245
18/5/2017 0:00;MATLESS0093;307
22/5/2017 0:00;MATLESS0093;557
23/5/2017 0:00;MATLESS0093;65
25/5/2017 0:00;MATLESS0093;754,8
30/5/2017 0:00;MATLESS0093;567
2/6/2017 0:00;MATLESS0093;370
5/6/2017 0:00;MATLESS0093;386,58
6/6/2017 0:00;MATLESS0093;807
7/6/2017 0:00;MATLESS0093;386,5
8/6/2017 0:00;MATLESS0093;415,26
9/6/2017 0:00;MATLESS0093;494
19/6/2017 0:00;MATLESS0093;371
28/6/2017 0:00;MATLESS0093;186,5
6/7/2017 0:00;MATLESS0093;371
7/7/2017 0:00;MATLESS0093;236,5
12/7/2017 0:00;MATLESS0093;302,36
13/7/2017 0:00;MATLESS0093;348,8
17/7/2017 0:00;MATLESS0093;238
21/7/2017 0:00;MATLESS0093;35
24/7/2017 0:00;MATLESS0093;1059,5
25/7/2017 0:00;MATLESS0093;438,1
26/7/2017 0:00;MATLESS0093;221,2
27/7/2017 0:00;MATLESS0093;912,67
28/7/2017 0:00;MATLESS0093;806,3
29/7/2017 0:00;MATLESS0093;492,24
31/7/2017 0:00;MATLESS0093;1086
1/8/2017 0:00;MATLESS0093;260
2/8/2017 0:00;MATLESS0093;508
7/8/2017 0:00;MATLESS0093;46,85
8/8/2017 0:00;MATLESS0093;760
9/8/2017 0:00;MATLESS0093;255
10/8/2017 0:00;MATLESS0093;385,6
15/8/2017 0:00;MATLESS0093;552,2
16/8/2017 0:00;MATLESS0093;382,5
21/8/2017 0:00;MATLESS0093;497
22/8/2017 0:00;MATLESS0093;384
23/8/2017 0:00;MATLESS0093;382
24/8/2017 0:00;MATLESS0093;382
25/8/2017 0:00;MATLESS0093;449,5
7/9/2017 0:00;MATLESS0093;594,5
8/9/2017 0:00;MATLESS0093;592,3
11/9/2017 0:00;MATLESS0093;90
21/9/2017 0:00;MATLESS0093;580
25/9/2017 0:00;MATLESS0093;364,3
3/10/2017 0:00;MATLESS0093;69
7/10/2017 0:00;MATLESS0093;222,1
11/10/2017 0:00;MATLESS0093;491
12/10/2017 0:00;MATLESS0093;227,3
17/11/2017 0:00;MATLESS0093;102
27/11/2017 0:00;MATLESS0093;517,9
20/12/2017 0:00;MATLESS0093;84,3
2/1/2018 0:00;MATLESS0093;297,2
10/1/2018 0:00;MATLESS0093;106,2
12/1/2018 0:00;MATLESS0093;301,3
15/1/2018 0:00;MATLESS0093;243,6
19/1/2018 0:00;MATLESS0093;227,8
22/1/2018 0:00;MATLESS0093;454,6
23/1/2018 0:00;MATLESS0093;213,5
24/1/2018 0:00;MATLESS0093;35,6
6/2/2018 0:00;MATLESS0093;364,7
7/2/2018 0:00;MATLESS0093;472,9
9/2/2018 0:00;MATLESS0093;245,17
14/2/2018 0:00;MATLESS0093;245
22/2/2018 0:00;MATLESS0093;202
27/2/2018 0:00;MATLESS0093;308,4
28/2/2018 0:00;MATLESS0093;613,34
5/3/2018 0:00;MATLESS0093;135,5
14/3/2018 0:00;MATLESS0093;280,4
15/3/2018 0:00;MATLESS0093;418,6
20/3/2018 0:00;MATLESS0093;219,64
26/3/2018 0:00;MATLESS0093;837,8
27/3/2018 0:00;MATLESS0093;309,19
28/3/2018 0:00;MATLESS0093;550,2
5/4/2018 0:00;MATLESS0093;274,96
21/4/2018 0:00;MATLESS0093;148,75
23/4/2018 0:00;MATLESS0093;300,05
26/4/2018 0:00;MATLESS0093;164,3
3/5/2018 0:00;MATLESS0093;599,7
4/5/2018 0:00;MATLESS0093;299,3
5/5/2018 0:00;MATLESS0093;374,14
8/5/2018 0:00;MATLESS0093;298,4
9/5/2018 0:00;MATLESS0093;298,8
10/5/2018 0:00;MATLESS0093;296,55
18/5/2018 0:00;MATLESS0093;169,45
24/5/2018 0:00;MATLESS0093;172,3
29/5/2018 0:00;MATLESS0093;541
30/5/2018 0:00;MATLESS0093;300,29
1/6/2018 0:00;MATLESS0093;300,9
4/6/2018 0:00;MATLESS0093;297
8/6/2018 0:00;MATLESS0093;298,7
2/7/2018 0:00;MATLESS0093;217,95
3/7/2018 0:00;MATLESS0093;238,95
4/7/2018 0:00;MATLESS0093;239,9
5/7/2018 0:00;MATLESS0093;240,95
9/7/2018 0:00;MATLESS0093;297,25
17/7/2018 0:00;MATLESS0093;295
23/7/2018 0:00;MATLESS0093;269,36
24/7/2018 0:00;MATLESS0093;592,53
20/8/2018 0:00;MATLESS0093;345,58
22/8/2018 0:00;MATLESS0093;317,53
23/8/2018 0:00;MATLESS0093;295
14/9/2018 0:00;MATLESS0093;542,7
17/9/2018 0:00;MATLESS0093;1245,85
19/9/2018 0:00;MATLESS0093;593,3
20/9/2018 0:00;MATLESS0093;356,05
26/9/2018 0:00;MATLESS0093;358
19/10/2018 0:00;MATLESS0093;1664,9
22/10/2018 0:00;MATLESS0093;260
27/10/2018 0:00;MATLESS0093;777,05
5/11/2018 0:00;MATLESS0093;298,7
21/3/2017 0:00;MATLESS0094;253,1
6/4/2017 0:00;MATLESS0094;247,5
18/4/2017 0:00;MATLESS0094;75
21/4/2017 0:00;MATLESS0094;146,5
22/4/2017 0:00;MATLESS0094;734
24/4/2017 0:00;MATLESS0094;564,7
11/5/2017 0:00;MATLESS0094;88,8
15/5/2017 0:00;MATLESS0094;81,4
24/5/2017 0:00;MATLESS0094;174,8
13/6/2017 0:00;MATLESS0094;902
14/6/2017 0:00;MATLESS0094;263,5
15/6/2017 0:00;MATLESS0094;531
16/6/2017 0:00;MATLESS0094;292
19/6/2017 0:00;MATLESS0094;46
20/6/2017 0:00;MATLESS0094;330,5
21/6/2017 0:00;MATLESS0094;112
22/6/2017 0:00;MATLESS0094;293
29/6/2017 0:00;MATLESS0094;436,5
30/6/2017 0:00;MATLESS0094;460,5
3/7/2017 0:00;MATLESS0094;237,8
10/7/2017 0:00;MATLESS0094;1211,53
11/7/2017 0:00;MATLESS0094;1175,67
12/7/2017 0:00;MATLESS0094;724,74
13/7/2017 0:00;MATLESS0094;933
3/10/2017 0:00;MATLESS0094;1087,1
4/10/2017 0:00;MATLESS0094;1088
5/10/2017 0:00;MATLESS0094;727
7/10/2017 0:00;MATLESS0094;363,5
10/10/2017 0:00;MATLESS0094;364,5
11/10/2017 0:00;MATLESS0094;147,7
13/10/2017 0:00;MATLESS0094;236,1
17/10/2017 0:00;MATLESS0094;181,9
18/10/2017 0:00;MATLESS0094;181,9
19/10/2017 0:00;MATLESS0094;181,1
20/10/2017 0:00;MATLESS0094;711,1
23/10/2017 0:00;MATLESS0094;363
25/10/2017 0:00;MATLESS0094;724
26/10/2017 0:00;MATLESS0094;362,1
27/10/2017 0:00;MATLESS0094;729,7
14/11/2017 0:00;MATLESS0094;730,8
15/11/2017 0:00;MATLESS0094;362,25
18/12/2017 0:00;MATLESS0094;100,2
19/12/2017 0:00;MATLESS0094;213,5
20/12/2017 0:00;MATLESS0094;184,9
1/2/2018 0:00;MATLESS0094;294,67
19/2/2018 0:00;MATLESS0094;294,68
21/2/2018 0:00;MATLESS0094;209
27/2/2018 0:00;MATLESS0094;699,6
28/2/2018 0:00;MATLESS0094;683,36
1/3/2018 0:00;MATLESS0094;362,4
2/3/2018 0:00;MATLESS0094;181,15
5/3/2018 0:00;MATLESS0094;362,5
12/3/2018 0:00;MATLESS0094;362,5
16/3/2018 0:00;MATLESS0094;111
19/3/2018 0:00;MATLESS0094;465,7
20/3/2018 0:00;MATLESS0094;465,4
28/3/2018 0:00;MATLESS0094;15,21
2/4/2018 0:00;MATLESS0094;226,6
4/4/2018 0:00;MATLESS0094;360,04
11/4/2018 0:00;MATLESS0094;720,15
19/4/2018 0:00;MATLESS0094;260,64
24/4/2018 0:00;MATLESS0094;725
26/4/2018 0:00;MATLESS0094;728,7
27/4/2018 0:00;MATLESS0094;362,7
7/5/2018 0:00;MATLESS0094;259,61
22/5/2018 0:00;MATLESS0094;436,85
29/5/2018 0:00;MATLESS0094;463,1
1/6/2018 0:00;MATLESS0094;730,3
5/6/2018 0:00;MATLESS0094;255,63
18/6/2018 0:00;MATLESS0094;276,15
20/6/2018 0:00;MATLESS0094;172,95
5/7/2018 0:00;MATLESS0094;275,18
6/7/2018 0:00;MATLESS0094;364,03
19/7/2018 0:00;MATLESS0094;290
26/7/2018 0:00;MATLESS0094;202,45
27/7/2018 0:00;MATLESS0094;728,35
30/7/2018 0:00;MATLESS0094;291,68
1/8/2018 0:00;MATLESS0094;379,58
7/8/2018 0:00;MATLESS0094;178,45
17/8/2018 0:00;MATLESS0094;181,3
4/9/2018 0:00;MATLESS0094;544,47
10/9/2018 0:00;MATLESS0094;529,76
11/9/2018 0:00;MATLESS0094;272,99
14/9/2018 0:00;MATLESS0094;2175,85
20/9/2018 0:00;MATLESS0094;694,3
21/9/2018 0:00;MATLESS0094;1197,3
24/9/2018 0:00;MATLESS0094;93,5
26/9/2018 0:00;MATLESS0094;204,45
27/9/2018 0:00;MATLESS0094;366,55
19/10/2018 0:00;MATLESS0094;637,55
20/11/2018 0:00;MATLESS0094;1234,65
21/11/2018 0:00;MATLESS0094;823
26/11/2018 0:00;MATLESS0094;230,12
3/12/2018 0:00;MATLESS0094;148,2
12/12/2018 0:00;MATLESS0094;92,73
13/12/2018 0:00;MATLESS0094;94,03
17/12/2018 0:00;MATLESS0094;771,65
18/12/2018 0:00;MATLESS0094;120,79
19/12/2018 0:00;MATLESS0094;363
2/3/2017 0:00;MATLESS0091;313,15
3/3/2017 0:00;MATLESS0091;229,9
9/3/2017 0:00;MATLESS0091;620,25
20/3/2017 0:00;MATLESS0091;386
21/3/2017 0:00;MATLESS0091;931,04
22/3/2017 0:00;MATLESS0091;389,22
23/3/2017 0:00;MATLESS0091;151,02
24/3/2017 0:00;MATLESS0091;21,02
15/6/2017 0:00;MATLESS0091;758
19/6/2017 0:00;MATLESS0091;198
20/6/2017 0:00;MATLESS0091;697,5
21/6/2017 0:00;MATLESS0091;389,5
3/7/2017 0:00;MATLESS0091;619,5
4/7/2017 0:00;MATLESS0091;931,5
5/7/2017 0:00;MATLESS0091;597,3
6/7/2017 0:00;MATLESS0091;403
3/8/2017 0:00;MATLESS0091;156,5
22/8/2017 0:00;MATLESS0091;714,9
28/8/2017 0:00;MATLESS0091;495,7
29/8/2017 0:00;MATLESS0091;464,2
30/8/2017 0:00;MATLESS0091;117
5/9/2017 0:00;MATLESS0091;824,5
6/9/2017 0:00;MATLESS0091;655,8
11/9/2017 0:00;MATLESS0091;859,73
18/9/2017 0:00;MATLESS0091;80
25/9/2017 0:00;MATLESS0091;765,5
26/9/2017 0:00;MATLESS0091;157,1
27/9/2017 0:00;MATLESS0091;297,2
28/9/2017 0:00;MATLESS0091;390
16/10/2017 0:00;MATLESS0091;768,9
17/10/2017 0:00;MATLESS0091;384,1
23/10/2017 0:00;MATLESS0091;385,5
24/10/2017 0:00;MATLESS0091;924
20/11/2017 0:00;MATLESS0091;1156,9
21/11/2017 0:00;MATLESS0091;231
5/2/2018 0:00;MATLESS0091;337,4
14/3/2018 0:00;MATLESS0091;229,32
8/5/2018 0:00;MATLESS0091;538
21/5/2018 0:00;MATLESS0091;384,38
22/5/2018 0:00;MATLESS0091;545,6
23/5/2018 0:00;MATLESS0091;682,7
28/5/2018 0:00;MATLESS0091;153
25/6/2018 0:00;MATLESS0091;494,8
26/6/2018 0:00;MATLESS0091;264,05
9/7/2018 0:00;MATLESS0091;230,9
12/7/2018 0:00;MATLESS0091;684,8
17/7/2018 0:00;MATLESS0091;153,8
18/7/2018 0:00;MATLESS0091;154,3
7/8/2018 0:00;MATLESS0091;491,8
8/8/2018 0:00;MATLESS0091;1515,05
14/8/2018 0:00;MATLESS0091;777,4
15/8/2018 0:00;MATLESS0091;340,5
16/8/2018 0:00;MATLESS0091;1101,25
22/8/2018 0:00;MATLESS0091;119,1
24/8/2018 0:00;MATLESS0091;451,56
3/9/2018 0:00;MATLESS0091;205
18/9/2018 0:00;MATLESS0091;1271,75
19/9/2018 0:00;MATLESS0091;682
20/9/2018 0:00;MATLESS0091;341
21/9/2018 0:00;MATLESS0091;531,35
24/9/2018 0:00;MATLESS0091;761,6
26/9/2018 0:00;MATLESS0091;177,3
12/11/2018 0:00;MATLESS0091;153,75
21/11/2018 0:00;MATLESS0091;697,15
22/11/2018 0:00;MATLESS0091;559,4
10/12/2018 0:00;MATLESS0091;476,1
15/3/2017 0:00;MATLESS0092;892,91
17/3/2017 0:00;MATLESS0092;270,45
20/3/2017 0:00;MATLESS0092;284,16
24/3/2017 0:00;MATLESS0092;284,98
27/3/2017 0:00;MATLESS0092;702
28/3/2017 0:00;MATLESS0092;931,5
29/3/2017 0:00;MATLESS0092;817,12
30/3/2017 0:00;MATLESS0092;320
3/4/2017 0:00;MATLESS0092;502
17/4/2017 0:00;MATLESS0092;168
22/4/2017 0:00;MATLESS0092;273
25/4/2017 0:00;MATLESS0092;183,14
3/5/2017 0:00;MATLESS0092;278
17/5/2017 0:00;MATLESS0092;93,42
23/5/2017 0:00;MATLESS0092;802,16
31/5/2017 0:00;MATLESS0092;108,3
1/6/2017 0:00;MATLESS0092;64,5
15/6/2017 0:00;MATLESS0092;490
16/6/2017 0:00;MATLESS0092;921,86
21/6/2017 0:00;MATLESS0092;284
23/6/2017 0:00;MATLESS0092;485
26/6/2017 0:00;MATLESS0092;288,5
27/6/2017 0:00;MATLESS0092;973,5
28/6/2017 0:00;MATLESS0092;180
7/7/2017 0:00;MATLESS0092;680,86
14/7/2017 0:00;MATLESS0092;729
17/7/2017 0:00;MATLESS0092;112,5
21/7/2017 0:00;MATLESS0092;635,5
3/8/2017 0:00;MATLESS0092;1413
7/8/2017 0:00;MATLESS0092;155
14/8/2017 0:00;MATLESS0092;2445,8
15/8/2017 0:00;MATLESS0092;815,68
17/8/2017 0:00;MATLESS0092;786
11/9/2017 0:00;MATLESS0092;90
12/9/2017 0:00;MATLESS0092;82,45
24/10/2017 0:00;MATLESS0092;195,85
13/11/2017 0:00;MATLESS0092;182,5
16/11/2017 0:00;MATLESS0092;755,8
17/11/2017 0:00;MATLESS0092;109,5
21/11/2017 0:00;MATLESS0092;681,22
29/11/2017 0:00;MATLESS0092;27,25
4/12/2017 0:00;MATLESS0092;170,35
20/12/2017 0:00;MATLESS0092;83,4
18/1/2018 0:00;MATLESS0092;186,5
24/1/2018 0:00;MATLESS0092;112,5
25/1/2018 0:00;MATLESS0092;114,3
29/1/2018 0:00;MATLESS0092;603,05
2/2/2018 0:00;MATLESS0092;589,34
5/2/2018 0:00;MATLESS0092;433
15/2/2018 0:00;MATLESS0092;127,95
16/2/2018 0:00;MATLESS0092;106,12
26/2/2018 0:00;MATLESS0092;126,2
7/3/2018 0:00;MATLESS0092;85,7
8/3/2018 0:00;MATLESS0092;668,65
9/3/2018 0:00;MATLESS0092;270,15
14/3/2018 0:00;MATLESS0092;348,8
15/3/2018 0:00;MATLESS0092;123,2
19/3/2018 0:00;MATLESS0092;86,7
23/3/2018 0:00;MATLESS0092;324,23
26/3/2018 0:00;MATLESS0092;485
29/3/2018 0:00;MATLESS0092;294,74
4/4/2018 0:00;MATLESS0092;161,4
10/4/2018 0:00;MATLESS0092;368,48
19/4/2018 0:00;MATLESS0092;803,57
20/4/2018 0:00;MATLESS0092;361,89
23/4/2018 0:00;MATLESS0092;270
9/5/2018 0:00;MATLESS0092;163,15
21/5/2018 0:00;MATLESS0092;181,25
24/5/2018 0:00;MATLESS0092;164,55
28/5/2018 0:00;MATLESS0092;813,05
30/5/2018 0:00;MATLESS0092;321,08
31/5/2018 0:00;MATLESS0092;271,15
21/6/2018 0:00;MATLESS0092;638,6
26/6/2018 0:00;MATLESS0092;648,68
27/6/2018 0:00;MATLESS0092;985,47
28/6/2018 0:00;MATLESS0092;361,23
9/7/2018 0:00;MATLESS0092;82,1
10/7/2018 0:00;MATLESS0092;724,7
12/7/2018 0:00;MATLESS0092;662,3
18/7/2018 0:00;MATLESS0092;179,6
19/7/2018 0:00;MATLESS0092;861,93
24/7/2018 0:00;MATLESS0092;180
8/8/2018 0:00;MATLESS0092;721,15
22/9/2018 0:00;MATLESS0092;221,12
24/9/2018 0:00;MATLESS0092;321,2
25/9/2018 0:00;MATLESS0092;2114,4
27/9/2018 0:00;MATLESS0092;1638,48
15/10/2018 0:00;MATLESS0092;120
20/10/2018 0:00;MATLESS0092;403,85
22/10/2018 0:00;MATLESS0092;161,56
26/10/2018 0:00;MATLESS0092;269
12/11/2018 0:00;MATLESS0092;268
26/11/2018 0:00;MATLESS0092;487,45
3/12/2018 0:00;MATLESS0092;93,05
12/12/2018 0:00;MATLESS0092;354,1
17/12/2018 0:00;MATLESS0092;92,25
18/12/2018 0:00;MATLESS0092;26,1
19/12/2018 0:00;MATLESS0092;94,3
31/1/2017 0:00;MATLESS0090;1097,86
1/2/2017 0:00;MATLESS0090;308,68
3/2/2017 0:00;MATLESS0090;250,78
10/2/2017 0:00;MATLESS0090;587,19
15/2/2017 0:00;MATLESS0090;742,51
20/2/2017 0:00;MATLESS0090;564,14
23/2/2017 0:00;MATLESS0090;243,91
18/3/2017 0:00;MATLESS0090;595,23
20/3/2017 0:00;MATLESS0090;229,4
5/6/2017 0:00;MATLESS0090;108,42
5/10/2017 0:00;MATLESS0090;258,5
6/10/2017 0:00;MATLESS0090;89,41
19/1/2017 0:00;MATLESS0086;684,93
14/2/2017 0:00;MATLESS0086;286,35
6/2/2017 0:00;MATLESS0001;148,43
8/2/2017 0:00;MATLESS0001;535,7
9/2/2017 0:00;MATLESS0001;267,47
10/2/2017 0:00;MATLESS0001;160,05
14/2/2017 0:00;MATLESS0001;631,35
25/1/2017 0:00;MATLESS0089;731,31
30/1/2017 0:00;MATLESS0089;161,8
15/5/2017 0:00;MATLESS0089;653,6
16/5/2017 0:00;MATLESS0089;162
24/5/2017 0:00;MATLESS0089;72,76
2/6/2017 0:00;MATLESS0089;391,69
20/1/2017 0:00;MATLESS0087;249,52
1/2/2017 0:00;MATLESS0087;545,13
6/2/2017 0:00;MATLESS0087;409,53
13/2/2017 0:00;MATLESS0087;255,46
16/2/2017 0:00;MATLESS0087;430,77
20/2/2017 0:00;MATLESS0087;171,1
